brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,171.0,153.2,76.1,7.6,5.7,515.0,76.8,3000.0,450.0,8.0,1.7777777777777777,3686400.0,1,1,4.0,32.0,2,8,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2024,204.0,163.7,75.7,9.0,6.6,267.0,84.4,6000.0,100.0,8.0,2.2222222222222223,1160640.0,1,1,4.0,64.0,3,4,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,235.0,168.8,79.9,9.9,6.6,400.0,77.8,4050.0,423.99,8.0,2.2222222222222223,2600640.0,1,1,6.0,128.0,1,6,5.2,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2020,169.0,160.1,74.1,7.6,6.57,392.0,89.3,3800.0,410.0,8.0,0.5555555555555556,2527200.0,1,0,8.0,128.0,4,6,5.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2022,179.0,159.9,73.9,8.1,6.43,409.0,84.5,5000.0,153.43,8.0,2.2222222222222223,2592000.0,0,1,6.0,64.0,3,4,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,110.0,122.0,64.4,12.0,4.0,233.0,58.0,1300.0,80.0,2.0,1.6666666666666667,384000.0,1,1,0.5,4.0,3,2,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,215.0,170.6,78.3,9.5,6.8,387.0,83.6,4500.0,630.0,8.0,2.2222222222222223,2592000.0,0,1,8.0,128.0,3,6,5.2,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,2012,163.8,128.8,67.0,11.3,4.5,245.0,64.7,1620.0,200.0,2.0,1.7777777777777777,518400.0,1,1,1.0,16.0,1,4,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2020,218.0,165.1,76.4,9.3,6.67,395.0,85.2,5000.0,206.19,8.0,2.2222222222222223,2592000.0,0,0,8.0,128.0,3,6,5.1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,2021,186.0,165.0,76.5,8.9,6.5,270.0,80.8,4000.0,60.0,4.0,2.2222222222222223,1152000.0,1,1,1.0,32.0,4,2,4.0,0.0
