Brand,Phone,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
LG667,450,False,False,2014.0,"Q4. Released 2014, Q4",102.9,98.0,51.1,18.5,2.2,30.4,64.0,96.0,,,,
LG667,8575 Samba,False,False,2009.0,,119.9,109.2,55.9,12.0,3.0,42.0,240.0,400.0,5:3,155.0,,
LG667,A100,False,False,2011.0,"May. Released 2011, Q2",58.0,104.0,43.7,13.0,1.5,16.0,128.0,128.0,1:1,121.0,,
LG667,A120,True,False,2010.0,"December. Released 2010, December",72.5,108.0,45.0,12.0,1.77,20.3,128.0,160.0,,116.0,,
LG667,A130,False,False,2010.0,"August. Released 2010, September",86.0,92.5,47.5,16.9,2.0,28.7,,,,,,
LG667,A140,True,False,2011.0,Q1,80.0,109.5,47.0,11.6,1.7,17.7,128.0,160.0,,121.0,,
LG667,A155,True,True,2010.0,"December. Released 2010, December",,110.0,47.2,13.5,2.0,24.4,144.0,176.0,,114.0,,
LG667,A160,True,False,2011.0,"January. Released 2011, January",81.0,110.0,47.5,14.1,2.0,24.2,144.0,176.0,,114.0,,
LG667,A165,True,False,2011.0,,81.0,110.0,47.5,14.1,2.0,24.1,176.0,220.0,,141.0,,
LG667,A180,False,False,2011.0,"February. Released 2011, Q2",66.3,106.3,44.9,14.0,1.52,15.6,128.0,128.0,1:1,119.0,,
LG667,A190,False,False,2011.0,"August. Released 2011, August",66.5,106.5,45.0,13.8,1.52,15.6,128.0,128.0,1:1,119.0,,
LG667,A200,True,True,2011.0,"April. Released 2011, Q3",95.0,99.8,51.0,15.8,2.2,29.9,176.0,220.0,,128.0,,
LG667,A230,True,True,2011.0,"July. Released 2011, October",80.0,108.8,46.6,13.9,1.77,19.4,128.0,160.0,,116.0,,
LG667,A250,True,True,2011.0,"July. Released 2011, July",92.0,99.8,51.0,15.8,2.2,29.9,96.0,64.0,,,,
LG667,A258,True,True,2011.0,,92.0,97.5,49.1,16.5,2.2,31.8,96.0,96.0,,,,
LG667,A270,True,False,2011.0,,65.8,107.2,44.9,14.6,1.45,14.1,128.0,128.0,1:1,125.0,,
LG667,A290,True,False,2012.0,"February. Released 2012, February",92.0,113.5,51.0,13.0,2.2,26.3,176.0,220.0,,128.0,,
LG667,A350,False,False,2011.0,"July. Released 2011, Q3",91.5,116.0,53.3,12.9,2.2,24.6,176.0,220.0,,128.0,,
LG667,A390,True,False,2013.0,,92.0,114.4,51.8,13.2,2.2,25.3,240.0,320.0,4:3,182.0,,
LG667,A395,True,False,2013.0,,97.0,114.4,51.6,13.0,2.2,25.4,240.0,320.0,4:3,182.0,,
LG667,A7150,True,True,2004.0,Q4,110.0,92.0,47.0,24.0,,,,,,,,
LG667,AKA,False,False,2015.0,"March. Released 2015, May",135.0,138.7,71.9,10.0,5.0,69.1,720.0,1280.0,16:9,294.0,Android 4.4.2 ,4.0
LG667,Apex,False,False,2010.0,"November. Released 2010, November",158.0,116.0,56.0,16.0,3.2,44.9,480.0,800.0,5:3,292.0,Android 2.1 ,
LG667,Aristo 2,False,False,2018.0,January,139.0,144.8,71.9,8.1,5.0,66.2,720.0,1280.0,16:9,294.0,Android 7.1.2 ,4.0
LG667,Axis,False,False,2011.0,"January. Released 2011, January",158.0,115.8,56.4,15.8,3.2,44.6,480.0,800.0,5:3,292.0,Android 2.1 ,
LG667,B1200,False,False,2002.0,June,80.0,106.0,44.0,25.0,,,,,,,,
