Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
Mate 30 RS Porsche Design,4500,1700 EUR,Kirin 990 5G (7 nm+),Mali-G76 MP16,OLED,Huawei441,False,False,2019.0,September,198.0,158.1,73.1,9.3,6.53,94.1,1176.0,2400.0,5:9,409.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Mate 30E Pro 5G,4500,680 EUR,Kirin 990E 5G (7 nm+),Mali-G76 MP14,OLED,Huawei441,False,False,2020.0,October 22,198.0,158.1,73.1,8.8,6.53,94.1,1176.0,2400.0,5:9,409.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Mate 40 Pro,4400,790 EUR,Kirin 9000 5G (5 nm),Mali-G78 MP24,OLED,Huawei441,False,False,2020.0,October 22,212.0,162.9,75.5,9.1,6.76,94.1,1344.0,2772.0,5:9,456.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 40 Pro 4G,4400,800 EUR,Kirin 9000 (5 nm),Mali-G78 MP24,OLED,Huawei441,False,False,2021.0,June 28,212.0,162.9,75.5,9.1,6.76,94.1,1344.0,2772.0,5:9,456.0,HarmonyOS 2.0,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 40 Pro+,4400,1400 EUR,Kirin 9000 5G (5 nm),Mali-G78 MP24,OLED,Huawei441,False,False,2020.0,October 22,230.0,162.9,75.5,8.8,6.76,94.1,1344.0,2772.0,5:9,456.0,Android 10,8.0,Quad,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 40 RS Porsche Design,4400,1400 EUR,Kirin 9000 5G (5 nm),Mali-G78 MP24,OLED,Huawei441,False,False,2020.0,October 22,234.0,162.9,75.5,10.1,6.76,94.1,1344.0,2772.0,5:9,456.0,Android 10,8.0,Quad,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 50 Pro,4700,77,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),Adreno 730,OLED,Huawei441,False,False,2022.0,September 06,205.0,162.1,75.5,8.5,6.74,91.3,1212.0,2616.0,5:9,428.0,EMUI 13 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 50 RS Porsche Design,4700,1880 EUR,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),Adreno 730,OLED,Huawei441,False,False,2022.0,September 06,232.0,162.1,75.5,9.9,6.74,91.3,1212.0,2616.0,5:9,428.0,HarmonyOS 3.0,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 60 Pro,5000,890 EUR,Kirin 9000S (7 nm),Maleoon 910 MP4,LTPO,Huawei441,False,False,2023.0,August 29,225.0,163.7,79.0,8.1,6.82,88.5,1260.0,2720.0,5:9,440.0,HarmonyOS 4.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 60 RS Ultimate,5000,1550 EUR,Kirin 9000S (7 nm),Maleoon 910 MP4,LTPO,Huawei441,False,False,2023.0,September 25,242.0,163.7,79.0,8.1,6.82,88.5,1260.0,2720.0,5:9,440.0,HarmonyOS 4.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Mate 8,4000,300 EUR,Kirin 950 (16 nm),Mali-T880 MP4,IPS-NEO,Huawei441,False,False,2015.0,"November. Released 2015, November",185.0,157.1,80.6,7.9,6.0,78.0,1080.0,1920.0,16:9,368.0,Android 6.0 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 9,4000,320 EUR,Kirin 960 (16 nm),Mali-G71 MP8,IPS,Huawei441,False,False,2016.0,"November. Released 2016, December",190.0,156.9,78.9,7.9,5.9,77.5,1080.0,1920.0,16:9,373.0,Android 7.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 9 Porsche Design,4000,920 EUR,Kirin 960 (16 nm),Mali-G71 MP8,OLED,Huawei441,False,False,2016.0,"November. Released 2017, January",169.0,152.0,75.0,7.5,5.5,73.2,1440.0,2560.0,16:9,534.0,Android 7.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 9 Pro,4000,400 EUR,Kirin 960 (16 nm),Mali-G71 MP8,OLED,Huawei441,False,False,2016.0,"November. Released 2017, January",169.0,152.0,75.0,7.5,5.5,73.2,1440.0,2560.0,16:9,534.0,Android 7.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
