DeviceName,Sensor
Zenfone Zoom ZX550,Accelerometer
Zenfone Zoom ZX550,gyro
Zenfone Zoom ZX550,proximity
Zenfone Zoom ZX550,compass
Pegasus,Accelerometer
Pegasus,proximity
Pegasus,compass
Zenfone 5 Lite A502CG (2014),Accelerometer
Zenfone 5 Lite A502CG (2014),proximity
Zenfone 5 Lite A502CG (2014),compass
Memo Pad 10 ME103K,Accelerometer
Memo Pad 10 ME103K,compass
PadFone X mini,Accelerometer
PadFone X mini,proximity
Memo Pad 7 ME572CL,Accelerometer
Memo Pad 7 ME572CL,gyro
Memo Pad 7 ME572CL,compass
Memo Pad 7 ME572C,Accelerometer
